Job Title,Company Name,Location
Python Fullstack Developer,Python Fullstack Developer,"Bucharest, Romania (Remote)"
Lead Data Engineer,Lead Data Engineer,"Bucharest, Bucharest, Romania (Remote)"
Data Migration Engineer II,Data Migration Engineer II,"Cracow, Małopolskie, Poland (Remote)"
Data Platform Support Engineer,Data Platform Support Engineer,Poland (Remote)
Senior Data Engineer - OpenSC,Senior Data Engineer - OpenSC,"Berlin, Germany (Remote)"
GCP Cloud Data Engineer,GCP Cloud Data Engineer,France (Remote)
Senior DevOps Engineer,Senior DevOps Engineer,Netherlands (Remote)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
