Job Title,Company Name,Location
"Senior Data Engineer (Azure, Databricks, Spark)","Senior Data Engineer (Azure, Databricks, Spark)",Poland (Remote)
"Java Engineer - Greenfield coding, Spring Boot, Microservices, Kubernetes - 90.000 € - Frankfurt am Main","Java Engineer - Greenfield coding, Spring Boot, Microservices, Kubernetes - 90.000 € - Frankfurt am Main","Frankfurt am Main, Hesse, Germany (Remote)"
Lead Data Engineer with Azure,Lead Data Engineer with Azure,Lithuania (Remote)
Lead Data Engineer,Lead Data Engineer,Romania (Remote)
DATA ENGINEER (100% REMOTO),DATA ENGINEER (100% REMOTO),"Lisboa, Lisbon, Portugal (Remote)"
Lead Data Engineer,Lead Data Engineer,"Cluj, Romania (Remote)"
.NET Software Engineer – Frankfurt,.NET Software Engineer – Frankfurt,"Frankfurt, Hesse, Germany (Remote)"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
